Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"BLDR","BUILDERS FIRSTSOURCE INC","Industrie","Aktien","6.556.093,83","0,23","6.556.093,83","69.179,00","94,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DECK","DECKERS OUTDOOR CORP","Zyklische Konsumgüter ","Aktien","5.372.442,72","0,19","5.372.442,72","11.208,00","479,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LSI","LIFE STORAGE INC","Immobilien","Aktien","4.997.860,96","0,18","4.997.860,96","37.192,00","134,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WSO","WATSCO INC","Industrie","Aktien","4.722.198,54","0,17","4.722.198,54","13.633,00","346,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LSCC","LATTICE SEMICONDUCTOR CORP","IT","Aktien","4.676.078,70","0,16","4.676.078,70","58.671,00","79,70","Vereinigte Staaten","NASDAQ","USD"
"FIVE","FIVE BELOW INC","Zyklische Konsumgüter ","Aktien","4.669.340,24","0,16","4.669.340,24","23.659,00","197,36","Vereinigte Staaten","NASDAQ","USD"
"PEN","PENUMBRA INC","Gesundheitsversorgung","Aktien","4.580.014,40","0,16","4.580.014,40","16.120,00","284,12","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SWAV","SHOCKWAVE MEDICAL INC","Gesundheitsversorgung","Aktien","4.576.983,84","0,16","4.576.983,84","15.774,00","290,16","Vereinigte Staaten","NASDAQ","USD"
"TPR","TAPESTRY INC","Zyklische Konsumgüter ","Aktien","4.436.904,01","0,16","4.436.904,01","108.721,00","40,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SCI","SERVICE CORPORATION INTERNATIONAL","Zyklische Konsumgüter ","Aktien","4.431.445,65","0,16","4.431.445,65","63.135,00","70,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FND","FLOOR DECOR HOLDINGS INC CLASS A","Zyklische Konsumgüter ","Aktien","4.390.927,34","0,15","4.390.927,34","44.201,00","99,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"REXR","REXFORD INDUSTRIAL REALTY REIT INC","Immobilien","Aktien","4.361.939,01","0,15","4.361.939,01","78.213,00","55,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JBL","JABIL INC","IT","Aktien","4.347.484,50","0,15","4.347.484,50","55.630,00","78,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SRPT","SAREPTA THERAPEUTICS INC","Gesundheitsversorgung","Aktien","4.330.711,75","0,15","4.330.711,75","35.275,00","122,77","Vereinigte Staaten","NASDAQ","USD"
"BJ","BJS WHOLESALE CLUB HOLDINGS INC","Nichtzyklische Konsumgüter","Aktien","4.318.876,24","0,15","4.318.876,24","56.552,00","76,37","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WSC","WILLSCOT MOBILE MINI HOLDINGS CORP","Industrie","Aktien","4.280.312,00","0,15","4.280.312,00","94.280,00","45,40","Vereinigte Staaten","NASDAQ","USD"
"MANH","MANHATTAN ASSOCIATES INC","IT","Aktien","4.205.621,12","0,15","4.205.621,12","25.384,00","165,68","Vereinigte Staaten","NASDAQ","USD"
"CUBE","CUBESMART REIT","Immobilien","Aktien","4.196.134,07","0,15","4.196.134,07","92.243,00","45,49","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PFGC","PERFORMANCE FOOD GROUP","Nichtzyklische Konsumgüter","Aktien","4.159.230,74","0,15","4.159.230,74","66.346,00","62,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Industrie","Aktien","3.965.617,40","0,14","3.965.617,40","23.633,00","167,80","Vereinigte Staaten","NASDAQ","USD"
"FLEX","FLEX LTD","IT","Aktien","3.926.134,19","0,14","3.926.134,19","190.867,00","20,57","Vereinigte Staaten","NASDAQ","USD"
"RGLD","ROYAL GOLD INC","Materialien","Aktien","3.904.066,32","0,14","3.904.066,32","29.478,00","132,44","Vereinigte Staaten","NASDAQ","USD"
"USFD","US FOODS HOLDING CORP","Nichtzyklische Konsumgüter","Aktien","3.903.552,00","0,14","3.903.552,00","101.655,00","38,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RNR","RENAISSANCERE HOLDING LTD","Financials","Aktien","3.899.351,82","0,14","3.899.351,82","18.102,00","215,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CHDN","CHURCHILL DOWNS INC","Zyklische Konsumgüter ","Aktien","3.856.130,46","0,14","3.856.130,46","13.182,00","292,53","Vereinigte Staaten","NASDAQ","USD"
"RRX","REGAL REXNORD CORP","Industrie","Aktien","3.776.592,40","0,13","3.776.592,40","29.015,00","130,16","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DKS","DICKS SPORTING INC","Zyklische Konsumgüter ","Aktien","3.734.007,50","0,13","3.734.007,50","25.750,00","145,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RGA","REINSURANCE GROUP OF AMERICA INC","Financials","Aktien","3.725.795,28","0,13","3.725.795,28","26.179,00","142,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Immobilien","Aktien","3.633.701,12","0,13","3.633.701,12","34.384,00","105,68","Vereinigte Staaten","NASDAQ","USD"
"PNW","PINNACLE WEST CORP","Versorger","Aktien","3.621.635,14","0,13","3.621.635,14","46.159,00","78,46","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CASY","CASEYS GENERAL STORES INC","Nichtzyklische Konsumgüter","Aktien","3.592.016,36","0,13","3.592.016,36","15.698,00","228,82","Vereinigte Staaten","NASDAQ","USD"
"EME","EMCOR GROUP INC","Industrie","Aktien","3.516.273,00","0,12","3.516.273,00","20.563,00","171,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UNM","UNUM","Financials","Aktien","3.505.511,80","0,12","3.505.511,80","83.069,00","42,20","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CHE","CHEMED CORP","Gesundheitsversorgung","Aktien","3.498.232,50","0,12","3.498.232,50","6.346,00","551,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAIA","SAIA INC","Industrie","Aktien","3.483.611,23","0,12","3.483.611,23","11.699,00","297,77","Vereinigte Staaten","NASDAQ","USD"
"ATR","APTARGROUP INC","Materialien","Aktien","3.442.596,99","0,12","3.442.596,99","29.049,00","118,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CNA","CENTRICA PLC","Versorger","Aktien","3.419.479,15","0,12","3.419.479,15","2.376.040,00","1,44","Vereinigtes Königreich","London Stock Exchange","GBP"
"DKNG","DRAFTKINGS INC CLASS A","Zyklische Konsumgüter ","Aktien","3.415.878,55","0,12","3.415.878,55","155.905,00","21,91","Vereinigte Staaten","NASDAQ","USD"
"WSM","WILLIAMS SONOMA INC","Zyklische Konsumgüter ","Aktien","3.414.417,36","0,12","3.414.417,36","28.209,00","121,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OGE","OGE ENERGY CORP","Versorger","Aktien","3.406.154,36","0,12","3.406.154,36","90.734,00","37,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COLD","AMERICOLD REALTY INC TRUST","Immobilien","Aktien","3.379.828,98","0,12","3.379.828,98","114.222,00","29,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DCI","DONALDSON INC","Industrie","Aktien","3.342.030,95","0,12","3.342.030,95","52.589,00","63,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INSP","INSPIRE MEDICAL SYSTEMS INC","Gesundheitsversorgung","Aktien","3.311.921,25","0,12","3.311.921,25","12.375,00","267,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Immobilien","Aktien","3.310.263,00","0,12","3.310.263,00","76.098,00","43,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BRKR","BRUKER CORP","Gesundheitsversorgung","Aktien","3.280.255,02","0,12","3.280.255,02","41.454,00","79,13","Vereinigte Staaten","NASDAQ","USD"
"VOYA","VOYA FINANCIAL INC","Financials","Aktien","3.259.730,56","0,11","3.259.730,56","42.622,00","76,48","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NATI","NATIONAL INSTRUMENTS CORP","IT","Aktien","3.251.272,05","0,11","3.251.272,05","55.835,00","58,23","Vereinigte Staaten","NASDAQ","USD"
"CROX","CROCS INC","Zyklische Konsumgüter ","Aktien","3.237.927,94","0,11","3.237.927,94","26.182,00","123,67","Vereinigte Staaten","NASDAQ","USD"
"FR","FIRST INDUSTRIAL REALTY TRUST INC","Immobilien","Aktien","3.212.895,51","0,11","3.212.895,51","61.233,00","52,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EGP","EASTGROUP PROPERTIES REIT INC","Immobilien","Aktien","3.202.948,80","0,11","3.202.948,80","19.230,00","166,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"APLS","APELLIS PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","3.174.928,65","0,11","3.174.928,65","38.055,00","83,43","Vereinigte Staaten","NASDAQ","USD"
"EWBC","EAST WEST BANCORP INC","Financials","Aktien","3.153.503,52","0,11","3.153.503,52","61.008,00","51,69","Vereinigte Staaten","NASDAQ","USD"
"KNSL","KINSALE CAPITAL GROUP INC","Financials","Aktien","3.153.078,21","0,11","3.153.078,21","9.651,00","326,71","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"THC","TENET HEALTHCARE CORP","Gesundheitsversorgung","Aktien","3.142.128,60","0,11","3.142.128,60","42.855,00","73,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OLN","OLIN CORP","Materialien","Aktien","3.140.072,00","0,11","3.140.072,00","56.680,00","55,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AGCO","AGCO CORP","Industrie","Aktien","3.112.133,40","0,11","3.112.133,40","25.110,00","123,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KBR","KBR INC","Industrie","Aktien","3.102.790,62","0,11","3.102.790,62","54.694,00","56,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PLNT","PLANET FITNESS INC CLASS A","Zyklische Konsumgüter ","Aktien","3.080.170,72","0,11","3.080.170,72","37.048,00","83,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MIDD","MIDDLEBY CORP","Industrie","Aktien","3.058.927,44","0,11","3.058.927,44","21.713,00","140,88","Vereinigte Staaten","NASDAQ","USD"
"WEX","WEX INC","Financials","Aktien","3.050.242,65","0,11","3.050.242,65","17.199,00","177,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CACI","CACI INTERNATIONAL INC CLASS A","Industrie","Aktien","3.040.457,28","0,11","3.040.457,28","9.704,00","313,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TOL","TOLL BROTHERS INC","Zyklische Konsumgüter ","Aktien","3.027.033,24","0,11","3.027.033,24","47.364,00","63,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GPK","GRAPHIC PACKAGING HOLDING","Materialien","Aktien","3.026.398,50","0,11","3.026.398,50","122.725,00","24,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CLH","CLEAN HARBORS INC","Industrie","Aktien","3.024.698,92","0,11","3.024.698,92","20.837,00","145,16","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ITT","ITT INC","Industrie","Aktien","3.021.854,28","0,11","3.021.854,28","35.787,00","84,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BLD","TOPBUILD CORP","Zyklische Konsumgüter ","Aktien","2.997.080,16","0,11","2.997.080,16","13.292,00","225,48","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BERY","BERRY GLOBAL GROUP INC","Materialien","Aktien","2.985.655,26","0,10","2.985.655,26","51.646,00","57,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NVT","NVENT ELECTRIC PLC","Industrie","Aktien","2.983.906,52","0,10","2.983.906,52","71.164,00","41,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BESI","BESI","IT","Aktien","2.963.109,48","0,10","2.963.109,48","32.997,00","89,80","Niederlande","Euronext Amsterdam","EUR"
"TTEK","TETRA TECH INC","Industrie","Aktien","2.959.872,67","0,10","2.959.872,67","21.391,00","138,37","Vereinigte Staaten","NASDAQ","USD"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Aktien","2.945.143,35","0,10","2.945.143,35","37.831,00","77,85","Vereinigte Staaten","NASDAQ","USD"
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Financials","Aktien","2.942.287,18","0,10","2.942.287,18","116.434,00","25,27","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MRO","MELROSE INDUSTRIES PLC","Industrie","Aktien","2.935.948,01","0,10","2.935.948,01","571.116,00","5,14","Vereinigtes Königreich","London Stock Exchange","GBP"
"IRDM","IRIDIUM COMMUNICATIONS INC","Kommunikation","Aktien","2.922.476,15","0,10","2.922.476,15","46.045,00","63,47","Vereinigte Staaten","NASDAQ","USD"
"CW","CURTISS WRIGHT CORP","Industrie","Aktien","2.904.942,15","0,10","2.904.942,15","17.105,00","169,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INGR","INGREDION INC","Nichtzyklische Konsumgüter","Aktien","2.902.900,14","0,10","2.902.900,14","27.342,00","106,17","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SITE","SITEONE LANDSCAPE SUPPLY INC","Industrie","Aktien","2.892.158,24","0,10","2.892.158,24","19.576,00","147,74","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CFR","CULLEN FROST BANKERS INC","Financials","Aktien","2.888.219,25","0,10","2.888.219,25","26.197,00","110,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ALV","AUTOLIV INC","Zyklische Konsumgüter ","Aktien","2.887.763,93","0,10","2.887.763,93","33.653,00","85,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RRC","RANGE RESOURCES CORP","Energie","Aktien","2.877.865,80","0,10","2.877.865,80","108.804,00","26,45","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ACHC","ACADIA HEALTHCARE COMPANY INC","Gesundheitsversorgung","Aktien","2.876.635,97","0,10","2.876.635,97","39.793,00","72,29","Vereinigte Staaten","NASDAQ","USD"
"TXRH","TEXAS ROADHOUSE INC","Zyklische Konsumgüter ","Aktien","2.849.349,96","0,10","2.849.349,96","25.758,00","110,62","Vereinigte Staaten","NASDAQ","USD"
"NYT","NEW YORK TIMES CLASS A","Kommunikation","Aktien","2.844.748,50","0,10","2.844.748,50","71.566,00","39,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FRT","FEDERAL REALTY INVESTMENT TRUST","Immobilien","Aktien","2.839.725,24","0,10","2.839.725,24","28.716,00","98,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WING","WINGSTOP INC","Zyklische Konsumgüter ","Aktien","2.828.354,74","0,10","2.828.354,74","14.134,00","200,11","Vereinigte Staaten","NASDAQ","USD"
"GNTX","GENTEX CORP","Zyklische Konsumgüter ","Aktien","2.826.954,17","0,10","2.826.954,17","102.463,00","27,59","Vereinigte Staaten","NASDAQ","USD"
"HELN","HELVETIA HOLDING AG","Financials","Aktien","2.824.701,87","0,10","2.824.701,87","18.889,00","149,54","Schweiz","SIX Swiss Exchange","CHF"
"PRI","PRIMERICA INC","Financials","Aktien","2.817.771,89","0,10","2.817.771,89","15.439,00","182,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TPX","TEMPUR SEALY INTERNATIONAL INC","Zyklische Konsumgüter ","Aktien","2.813.584,83","0,10","2.813.584,83","75.089,00","37,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RBC","RBC BEARINGS INC","Industrie","Aktien","2.808.794,73","0,10","2.808.794,73","12.373,00","227,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
